	controlA	controlB	thrombinA	thrombinB	thrombinC
CELA2A	0	1	0	0	1
CELA2B	11	7	8	6	9
DNAJC16	977	959	793	718	804
DDI2	148	128	95	102	96
RSC1A1	0	0	0	0	0
PLEKHM2	2137	2154	3015	2778	2878
SLC25A34	23	27	14	8	13
TMEM82	0	2	0	0	0
FBLIM1	5345	5384	8743	7640	8444
SPEN	2320	2260	2447	2112	2309
C1orf64	0	0	0	0	0
CLCNKA	0	2	0	1	0
CLCNKB	1	1	0	1	0
SZRD1	3047	3083	4696	4022	4426
NECAP2	2786	2891	4333	3841	4244
MIR3675	0	0	0	0	0
MST1P2	15	18	6	6	10
FAM231A	0	0	0	0	0
CROCC	362	405	290	300	289
PADI1	3	4	2	0	0
PADI3	1	1	0	0	0
PADI4	0	1	0	0	0
PADI6	0	1	0	0	0
ARHGEF10L	31	25	47	46	48
ACTL8	0	0	0	0	0
IGSF21	0	0	0	0	0
KLHDC7A	0	0	0	0	0
PAX7	0	0	0	0	0
MRTO4	755	745	937	775	908
PQLC2	372	390	487	408	453
MINOS1	622	710	711	641	725
MINOS1-NBL1	0	0	0	0	0
NBL1	4	7	4	3	3
RPS14P3	6	5	0	1	3
HTR6	0	0	0	0	0
OTUD3	236	236	140	141	153
PLA2G5	7	5	10	4	6
PLA2G2F	0	0	0	0	0
UBXN10	4	8	2	6	9
VWA5B1	0	0	0	0	0
FAM43B	0	0	0	0	0
CDA	16	10	10	8	9
PINK1	1185	1217	1511	1326	1432
MIR6084	0	0	0	0	0
LOC100506801	4	7	6	8	7
NBPF3	220	237	253	204	237
ALPL	84	65	96	98	118
LDLRAD2	16939	17359	24120	22305	22453
CELA3B	0	0	2	0	0
CELA3A	0	0	0	0	0
LINC00339	99	98	121	91	105
CDC42	7948	7792	9704	7751	9259
ZBTB40	2194	2137	1281	1072	1266
EPHA8	0	0	0	0	0
C1QA	0	0	0	0	0
C1QC	0	0	0	0	0
C1QB	0	0	0	0	0
EPHB2	3481	3564	4031	3713	3755
MIR4684	0	0	0	1	0
KDM1A	2004	1895	1983	1687	2014
MIR3115	0	0	0	0	0
C1orf213	61	90	28	30	33
LOC101928163	2	0	0	0	0
MDS2	0	1	0	2	0
RPL11	10528	9946	10095	8718	9607
TCEB3	1643	1628	2156	1752	2121
PITHD1	577	559	516	436	539
LYPLA2	1731	1846	2741	2355	2610
MIR378F	0	0	0	0	0
PNRC2	1778	1720	1071	839	1052
LOC284632	0	0	0	0	0
GRHL3	1	0	0	0	0
NIPAL3	391	392	371	315	357
RCAN3	18	19	11	14	23
NCMAP	0	1	0	0	0
SRRM1	1577	1388	1251	1018	1174
CLIC4	13749	13715	16077	12897	15588
RHD	12	12	4	10	4
TMEM50A	2959	2871	3368	2729	3295
TMEM57	915	747	696	595	719
LDLRAP1	488	509	454	350	412
MAN1C1	26	32	20	9	18
SEPN1	8464	8684	11302	10358	10902
MTFR1L	578	577	614	545	615
EXTL1	0	0	0	1	1
PDIK1L	157	136	52	41	46
FAM110D	64	62	52	50	37
ZNF593	172	153	261	214	227
CNKSR1	5	5	1	0	2
CATSPER4	1	0	0	0	0
LOC101928303	2	1	0	0	0
CEP85	467	461	411	357	398
SH3BGRL3	8067	7813	10254	8510	9585
CD52	0	0	0	0	0
LIN28A	0	0	1	0	0
DHDDS	1208	1224	1145	1035	1116
HMGN2	4786	4927	4703	3744	4497
RPS6KA1	516	475	515	476	526
MIR1976	0	0	0	0	0
ARID1A	1913	1896	2349	1980	2164
PIGV	118	140	130	104	136
ZDHHC18	844	834	1106	1048	1099
SFN	9	4	2	3	5
NUDC	1849	1829	2316	2011	2077
TRNP1	397	408	523	451	459
WDTC1	1072	1076	1395	1321	1406
TMEM222	513	514	700	643	643
LOC644961	35	30	20	22	27
SYTL1	1	2	0	2	0
GPR3	15	16	31	30	30
FAM76A	177	219	143	117	121
STX12	2698	2657	3608	2863	3450
PPP1R8	774	707	770	572	713
SCARNA1	2	0	0	0	0
THEMIS2	526	557	807	712	810
SMPDL3B	3	1	6	5	4
XKR8	277	291	333	326	337
ATPIF1	835	825	734	650	713
SESN2	545	550	736	622	703
MED18	274	267	301	250	291
PHACTR4	1034	952	879	779	879
SNHG3	542	504	307	256	262
RCC1	1250	1235	1286	1211	1276
TRNAU1AP	336	345	379	320	380
RAB42	9	6	17	11	11
RNU11	0	1	1	0	0
GMEB1	235	228	329	255	306
YTHDF2	2162	2048	2147	1922	2141
OPRD1	0	0	0	0	0
EPB41	2155	2052	1473	1224	1429
PTPRU	134	118	178	183	182
MATN1-AS1	5	6	5	5	9
ZCCHC17	1035	981	1050	908	1016
SERINC2	815	836	967	969	969
LINC01225	0	0	0	0	0
LINC01226	0	0	0	0	0
TINAGL1	6329	6101	7471	7065	6961
HCRTR1	12	10	1	1	5
KHDRBS1	3015	3227	3617	3081	3667
TMEM39B	358	379	359	329	365
KPNA6	2581	2452	2970	2272	2782
TXLNA	2565	2632	2771	2443	2753
CCDC28B	100	100	140	119	123
IQCC	38	27	26	26	33
DCDC2B	29	47	11	15	18
EIF3I	3608	3666	4611	4133	4626
FAM167B	189	208	157	150	144
LCK	1	0	0	0	2
HDAC1	2810	2932	2843	2410	2784
TSSK3	152	144	46	33	45
ZBTB8B	0	0	1	0	0
ZBTB8A	330	329	226	173	231
RBBP4	3100	3192	2480	2059	2534
KIAA1522	1787	1746	2240	2004	2216
S100PBP	525	537	470	393	457
HPCA	12	14	16	10	22
ADC	12	7	14	13	13
ZNF362	293	343	283	271	294
ZSCAN20	99	132	117	93	100
HMGB4	0	0	0	0	0
CSMD2-AS1	0	0	0	0	0
C1orf94	0	0	0	0	0
GJB5	0	0	0	0	0
GJB4	0	0	0	0	0
GJB3	0	0	0	0	0
GJA4	13	14	7	9	4
ZMYM1	366	325	108	110	134
ZMYM4	1801	1700	865	712	866
NCDN	426	488	598	586	595
TFAP2E	5	2	2	3	1
AGO4	736	726	434	344	419
AGO1	947	881	1008	823	978
AGO3	225	216	203	161	189
TEKT2	3	2	0	1	1
ADPRHL2	765	739	1066	896	1078
MAP7D1	4984	4810	6716	6366	6107
THRAP3	3846	3578	3895	3139	3651
SH3D21	99	116	52	47	59
MIR4255	0	0	0	0	0
ZC3H12A	262	285	435	329	377
MIR6732	2	0	0	0	2
DNALI1	47	55	53	40	48
CDCA8	613	578	625	493	609
MANEAL	16	27	21	11	17
C1orf122	374	407	601	555	582
UTP11L	725	697	527	442	503
MIR3659	0	0	0	0	0
AKIRIN1	1288	1286	1468	1254	1511
NDUFS5	1739	1701	1983	1654	1850
MACF1	19497	19456	13225	11015	12906
KIAA0754	1626	1544	1162	997	1057
BMP8A	17	31	17	15	11
PPIE	570	597	655	586	633
MFSD2A	40	62	80	87	86
CAP1	9902	9760	13638	11516	13172
RLF	357	385	67	57	68
TMCO2	0	0	1	0	0
ZMPSTE24	1723	1552	1169	948	1036
SMAP2	311	289	325	313	336
ZFP69B	121	116	70	78	103
ZFP69	53	52	35	28	32
EXO5	174	163	204	166	189
ZNF684	49	49	17	19	19
NFYC	368	354	431	355	428
MIR30E	0	0	0	0	0
MIR30C1	0	0	0	0	0
KCNQ4	0	1	2	1	3
CTPS1	1292	1252	1492	1206	1530
SLFNL1-AS1	115	108	62	72	77
FOXO6	4	11	7	0	0
GUCA2B	0	0	0	0	0
RIMKLA	0	0	1	0	0
PPCS	322	332	288	212	263
CCDC30	2	3	0	0	0
PPIH	328	320	377	293	369
YBX1	12061	11122	13265	11304	12775
C1orf50	118	118	129	137	142
LOC100129924	3	1	0	0	1
ERMAP	348	389	337	271	302
ZNF691	93	97	124	80	83
LOC339539	1	1	1	0	0
SLC2A1-AS1	5	7	6	3	2
FAM183A	4	0	1	4	3
WDR65	21	18	19	11	4
TMEM125	0	1	0	1	0
TIE1	14539	14740	17777	16497	17317
MPL	4	4	4	3	1
CDC20	1299	1369	1395	1207	1344
SZT2	3517	3566	2819	2489	2709
MIR6735	1	1	2	0	0
PTPRF	14064	14303	18164	16789	17483
KDM4A	1585	1618	1616	1449	1656
ST3GAL3	188	190	225	226	261
MIR6079	0	0	0	0	0
ARTN	2	3	0	0	0
IPO13	1004	1043	1099	1020	1007
DPH2	431	465	656	542	577
ATP6V0B	1043	1105	1638	1516	1656
B4GALT2	1412	1429	1698	1620	1651
CCDC24	45	59	45	30	22
KLF17	0	0	0	0	0
DMAP1	363	379	387	358	309
RNF220	728	705	862	751	791
MIR5584	0	0	0	0	0
C1orf228	1	2	1	0	0
KIF2C	582	641	548	481	567
RPS8	12461	12061	13808	12207	13456
SNORD55	7	4	5	7	8
SNORD46	5	2	1	3	4
SNORD38A	4	2	2	3	2
SNORD38B	2	6	6	3	6
PLK3	843	847	1105	996	1013
BTBD19	312	289	119	103	96
UROD	2197	2351	2850	2380	2682
LINC01144	2	3	2	0	1
HPDL	19	15	18	16	20
TOE1	165	152	199	195	198
MMACHC	123	146	180	151	170
AKR1A1	1298	1345	1679	1464	1619
NASP	1767	1643	1148	980	1090
TMEM69	451	408	377	295	357
MAST2	1668	1633	1828	1611	1755
TSPAN1	3	1	2	0	0
LURAP1	2	15	9	9	4
RAD54L	171	180	153	141	147
UQCRH	1499	1527	1632	1476	1531
NSUN4	413	447	552	434	503
FAAH	20	18	14	12	10
LOC729041	11	3	1	1	6
DMBX1	0	0	0	0	0
MKNK1-AS1	80	92	71	61	68
TEX38	0	0	0	0	1
EFCAB14-AS1	136	140	146	100	94
CYP4B1	0	0	0	0	0
CYP4X1	9	18	17	12	11
CYP4Z1	0	1	0	0	0
CYP4A22	0	0	0	0	0
LINC00853	2	2	1	0	0
CMPK1	2838	2816	1812	1474	1809
FOXE3	0	1	1	0	0
FOXD2	4	11	9	5	6
SLC5A9	0	1	0	0	0
ELAVL4	0	0	0	0	0
CDKN2C	141	140	126	130	110
C1orf185	0	0	0	0	0
RNF11	3014	3034	3411	2784	3505
OSBPL9	1844	1752	803	717	860
BTF3L4	731	735	659	543	602
ZFYVE9	662	689	457	375	472
PRPF38A	427	410	355	297	336
GPX7	186	221	250	220	213
FAM159A	0	1	0	0	0
ZYG11B	1115	1153	737	620	730
ZYG11A	18	24	18	14	20
SCP2	1379	1412	851	653	794
PODN	26	16	18	12	13
CPT2	258	246	312	243	309
LOC100507564	19	26	19	16	16
DMRTB1	0	0	0	0	0
DIO1	3	4	0	3	1
LRRC42	810	810	962	804	948
TCEANC2	207	171	143	108	154
MIR4781	0	0	0	0	0
MRPL37	1310	1291	1604	1329	1528
SSBP3-AS1	26	24	10	5	10
ACOT11	39	34	45	29	30
MROH7	0	0	0	0	0
MROH7-TTC4	0	0	0	0	0
TTC4	0	0	0	0	0
C1orf177	0	0	0	0	0
TMEM61	1	0	0	0	0
BSND	0	0	0	0	0
PCSK9	5	1	3	5	0
LOC100507634	8	7	13	7	6
MIR4422	0	0	0	0	0
PRKAA2	21	14	1	2	6
C8A	0	0	0	0	0
DAB1-AS1	0	0	0	0	0
LINC01135	0	0	1	0	0
LINC01358	6	7	7	6	5
FGGY	77	74	89	82	88
LOC101926944	1	0	0	0	0
HOOK1	0	0	0	0	0
NFIA	363	334	145	92	130
MGC34796	0	1	0	0	0
INADL	79	89	61	50	66
L1TD1	10	3	2	0	0
USP1	545	550	158	135	161
ANGPTL3	0	1	0	0	0
ATG4C	154	159	72	35	57
FOXD3	0	0	0	0	0
ALG6	266	234	192	117	166
EFCAB7	80	61	25	20	23
DLEU2L	10	6	6	4	10
PGM1	452	475	478	435	501
ROR1	153	175	92	84	90
UBE2U	0	0	0	0	1
CACHD1	405	398	406	324	380
MIR4794	0	0	0	0	0
RAVER2	424	377	242	229	218
AK4	317	353	307	232	313
DNAJC6	134	124	110	83	107
LEPROT	2496	2563	2274	1932	2298
LEPR	583	591	239	180	232
PDE4B	1696	1695	2106	1769	2155
SGIP1	999	986	453	343	442
MIR3117	0	0	0	0	0
TCTEX1D1	21	28	8	12	6
MIER1	1065	1050	345	326	406
IL23R	0	0	0	0	0
IL12RB2	0	7	1	2	1
GADD45A	1751	1656	1609	1480	1491
GNG12-AS1	103	115	135	119	116
DEPDC1-AS1	1	1	1	2	0
LRRC7	4	1	0	0	0
PIN1P1	0	0	0	0	0
SRSF11	3358	3133	1107	945	1060
HHLA3	45	29	39	27	28
CTH	41	33	32	36	36
ZRANB2-AS1	210	187	70	57	75
ZRANB2-AS2	2	1	0	0	0
LINC01360	0	0	0	0	0
FPGT	180	207	75	60	86
FPGT-TNNI3K	0	0	0	0	0
TNNI3K	0	0	0	0	0
TYW3	415	408	188	156	179
LHX8	0	0	0	0	0
ACADM	482	471	288	192	265
RABGGTB	749	719	321	260	343
SNORD45C	6	10	3	1	0
SNORD45A	6	1	1	0	2
SNORD45B	9	7	1	0	0
MSH4	3	0	0	0	1
ST6GALNAC3	262	284	204	165	204
ST6GALNAC5	0	0	0	0	0
MIR7156	0	0	0	0	0
AK5	56	38	31	27	35
FAM73A	471	520	236	178	265
NEXN	629	550	364	310	405
DNAJB4	937	892	348	277	345
GIPC2	44	47	15	6	25
MGC27382	0	0	0	0	0
PTGFR	24	19	5	7	10
IFI44L	953	922	262	213	258
IFI44	904	856	303	259	306
LPHN2	3800	3738	2309	1819	2201
PRKACB	2488	2455	449	341	423
SAMD13	24	22	2	6	9
DNASE2B	0	1	0	0	0
RPF1	477	463	479	404	465
WDR63	1	1	0	0	0
MIR4423	0	0	0	0	0
LOC646626	117	102	123	104	118
CYR61	13602	13275	21304	18713	20797
CLCA2	1	3	1	1	1
CLCA1	0	0	0	0	0
CLCA4	0	2	0	0	0
CLCA3P	1	0	0	0	0
SH3GLB1	4372	4175	2937	2327	2923
HS2ST1	1191	1254	742	614	749
LINC01140	1	1	0	1	0
LOC101927844	0	0	0	0	0
LMO4	305	271	277	220	290
PKN2	1584	1513	478	368	463
GBP6	0	0	0	0	0
GBP1P1	1	0	1	0	1
LRRC8B	777	763	634	524	655
LRRC8C	1986	2060	1614	1238	1513
LRRC8D	553	593	649	477	627
ZNF326	741	704	487	449	524
CDC7	124	117	41	20	33
BRDT	1	0	0	0	2
EPHX4	323	372	434	359	453
BTBD8	12	14	1	1	1
KIAA1107	51	52	5	5	16
C1orf146	0	0	0	0	1
RPAP2	249	279	114	100	121
RPL5	9861	9879	8511	7092	8335
SNORD21	3	2	2	0	1
SNORA66	0	2	1	1	1
MTF2	495	478	212	187	215
CCDC18	170	147	16	17	25
DR1	804	819	891	806	849
FNBP1L	2355	2171	1064	853	1080
LOC100129046	80	83	89	71	74
MIR760	2	0	0	0	0
ABCD3	570	582	230	200	250
SLC44A3	5	6	24	6	13
LOC729970	18	17	21	11	22
TMEM56	4	4	0	2	2
TMEM56-RWDD3	5	10	2	1	0
RWDD3	0	0	0	0	0
FLJ31662	0	1	0	0	0
LOC100996635	0	0	0	0	0
PTBP2	155	146	42	36	36
DPYD-AS1	33	28	14	15	8
DPYD-AS2	0	0	0	0	0
LOC729987	33	32	18	18	13
SNX7	860	827	732	616	750
LOC100129620	0	0	0	0	0
LPPR4	0	1	0	0	0
PALMD	3200	2940	1195	986	1080
MIR548AA1	0	0	0	0	0
AGL	565	615	167	138	154
SLC35A3	398	411	177	161	194
HIAT1	1249	1278	1125	905	1029
TRMT13	187	199	64	46	55
RTCA	936	916	768	617	740
MIR553	0	3	0	0	0
CDC14A	237	195	310	263	313
GPR88	0	0	1	5	2
VCAM1	723	758	3932	3189	3954
SLC30A7	1035	1006	601	552	657
LOC102606465	61	68	51	40	30
S1PR1	4814	4868	5681	5011	5724
DNAJA1P5	0	0	0	0	0
RNPC3	184	197	95	61	81
AMY2B	21	20	3	1	1
ACTG1P4	0	1	0	0	0
AMY2A	0	0	0	0	0
AMY1A	0	0	0	0	0
LOC100129138	0	0	0	0	0
PRMT6	371	359	530	450	489
NTNG1	8	8	18	15	16
MIR7852	0	0	0	0	0
VAV3-AS1	0	0	0	0	0
NBPF6	0	0	0	0	0
FAM102B	76	80	20	17	21
PRPF38B	1031	912	466	379	440
FNDC7	2	1	0	0	0
STXBP3	765	779	281	244	327
SPATA42	1	0	0	0	0
GPSM2	240	214	137	105	124
TMEM167B	808	802	679	503	626
SCARNA2	0	1	4	0	1
KIAA1324	82	72	83	52	83
SARS	3246	3208	3825	3270	3762
CELSR2	49	41	39	32	35
SYPL2	0	0	1	0	0
ATXN7L2	61	72	53	64	47
CYB561D1	357	370	413	341	398
GPR61	0	0	0	0	0
GNAI3	2834	2972	2164	1812	2138
MIR197	1	2	1	1	0
AMPD2	1072	1072	1077	1009	1050
GSTM4	85	87	80	72	88
GSTM2	90	93	73	56	85
GSTM1	190	220	211	175	178
GSTM5	1	1	1	0	1
CSF1	4865	4937	10751	9447	10295
AHCYL1	2574	2446	2524	2076	2488
STRIP1	1113	1108	1239	1155	1243
UBL4B	0	0	0	0	0
SLC6A17	12	7	18	14	7
KCNC4	124	149	145	135	130
RBM15	194	187	154	133	153
LAMTOR5-AS1	0	1	0	1	1
PROK1	0	0	0	0	0
CYMP	1	0	0	0	0
CD53	0	1	1	0	0
CEPT1	400	436	353	299	333
CHI3L2	0	0	0	0	0
CHIAP2	0	0	0	0	0
CHIA	0	0	0	0	0
PIFO	0	4	3	4	1
ATP5F1	2478	2388	2058	1694	2049
C1orf162	8	5	0	2	0
RAP1A	862	865	802	636	859
FAM212B-AS1	49	47	37	31	23
DDX20	694	669	485	384	511
LOC643355	0	0	0	0	0
CTTNBP2NL	2192	2193	2014	1660	1919
WNT2B	65	57	21	25	18
CAPZA1	4685	4499	3797	3060	3809
MOV10	1564	1557	1812	1652	1701
FAM19A3	0	0	1	0	1
AKR7A2P1	7	6	0	1	0
SLC16A1-AS1	26	25	10	17	31
LRIG2	274	254	218	174	208
MAGI3	348	350	138	127	168
AP4B1-AS1	193	154	153	138	126
DCLRE1B	210	196	258	233	261
HIPK1	1950	1942	1969	1702	1870
OLFML3	175	161	191	157	177
SYCP1	1	0	0	0	0
TSHB	0	0	0	0	0
VANGL1	1101	1091	1130	988	1072
SLC22A15	0	0	0	0	0
MAB21L3	66	62	4	7	7
ATP1A1	7932	7995	10984	9163	10666
MIR320B1	0	0	0	0	0
C1orf137	0	0	0	0	0
CD2	0	0	0	0	0
PTGFRN	338	334	442	367	430
CD101	1	1	1	3	2
TTF2	440	410	335	289	333
MIR942	0	0	1	0	0
MAN1A2	1201	1128	450	365	443
FAM46C	19	18	15	17	18
WDR3	710	640	585	501	522
HAO2	0	0	0	0	0
HAO2-IT1	0	0	0	0	0
HSD3B2	0	0	0	0	0
HSD3B1	0	0	0	0	0
HSD3BP4	26	28	12	10	11
PHGDH	181	207	246	221	240
FAM72B	41	35	30	15	22
HIST2H2BA	5	6	4	5	2
SRGAP2D	207	236	139	148	160
EMBP1	0	0	0	0	0
MIR6077	0	0	0	0	0
LOC100132057	1	0	0	0	0
NBPF20	10	15	23	5	14
NBPF9	25	16	11	10	15
NBPF8	98	120	67	48	69
NBPF25P	17	17	13	12	6
NBPF10	97	79	76	63	85
NBPF12	41	56	23	19	33
SEC22B	1743	1716	1788	1510	1835
NOTCH2NL	155	143	180	151	148
HFE2	0	0	0	0	0
TXNIP	691	701	588	531	612
ANKRD34A	16	16	11	5	14
LIX1L	1381	1294	1560	1255	1554
RBM8A	2099	1956	2033	1823	1969
PEX11B	550	488	530	430	539
ITGA10	900	917	930	779	866
ANKRD35	18	11	4	3	4
PIAS3	1284	1254	1445	1231	1421
MIR6736	0	0	0	0	0
RNF115	719	731	1321	1048	1254
PDZK1	5	3	2	2	0
PDIA3P1	211	177	123	144	131
CHD1L	697	634	679	537	610
BCL9	262	252	254	241	260
GJA8	0	0	0	0	0
GPR89B	34	36	22	16	14
RNVU1-19	0	0	0	0	0
NBPF15	1008	1060	536	426	543
PPIAL4F	0	0	0	0	0
LOC101060524	1	0	0	0	0
LOC645166	103	112	86	95	96
LOC388692	2	0	1	2	0
FCGR1C	0	0	0	0	0
PPIAL4B	0	0	0	0	0
LINC00623	0	0	0	0	0
LINC00869	0	0	1	0	1
LOC103091866	0	0	0	2	0
FCGR1A	1	0	0	0	0
HIST2H4B	0	0	0	0	0
HIST2H2AA3	0	0	0	1	0
HIST2H3A	0	0	0	0	0
HIST2H2AC	7	1	2	4	9
BOLA1	50	52	71	69	61
VPS45	547	515	386	333	381
PLEKHO1	2154	2227	3720	3274	3479
CA14	1	5	11	10	13
C1orf54	276	279	323	261	277
CIART	67	69	16	14	18
MRPS21	726	685	764	676	683
PRPF3	1193	1047	845	769	882
RPRD2	861	834	722	639	714
TARS2	404	393	394	340	362
MIR6878	0	0	0	0	1
ECM1	127	114	157	109	146
LINC00568	1	2	1	0	1
ADAMTSL4	90	107	41	32	44
MIR4257	7	2	1	1	1
SETDB1	809	781	738	629	728
ANXA9	87	81	67	52	57
PRUNE	203	186	230	173	208
BNIPL	5	6	1	2	4
C1orf56	209	230	325	235	304
MLLT11	3198	3205	3960	3316	3963
GABPB2	32	52	26	27	24
TNFAIP8L2	6	4	4	6	3
TNFAIP8L2-SCNM1	0	0	0	0	0
SCNM1	20	23	25	13	17
PIP5K1A	1458	1379	1845	1535	1837
PSMD4	1922	1972	2189	1995	2134
ZNF687	443	482	592	528	573
PSMB4	2940	3083	3924	3567	3752
CGN	9	14	11	5	9
TUFT1	130	136	151	135	133
MIR554	0	0	0	0	0
SNX27	515	494	493	422	481
RIIAD1	0	0	0	0	0
OAZ3	128	180	161	156	139
LOC100132111	15	18	9	6	7
NBPF18P	1	2	1	0	0
FLG-AS1	12	6	6	7	6
LCE5A	0	0	0	0	0
CRCT1	0	0	0	0	0
LCE3C	0	0	0	0	0
LCE3B	0	0	0	0	0
LCE2D	0	0	0	0	0
LCE2C	0	0	0	0	0
LCE2B	0	0	0	0	0
LCE2A	0	0	0	0	1
LCE4A	0	0	0	0	0
C1orf68	0	0	0	0	0
KPRP	0	0	0	0	0
LCE1F	0	0	0	0	0
LCE1E	0	0	0	0	0
LCE1D	0	0	0	0	0
LCE1B	0	0	0	0	0
LCE1A	0	0	0	0	0
LCE6A	0	0	0	0	0
SMCP	0	0	0	0	0
IVL	0	0	0	0	0
SPRR4	0	0	0	0	0
SPRR1A	0	0	0	0	0
SPRR3	0	0	0	0	0
SPRR1B	0	0	0	0	0
LOC101928009	0	0	0	0	0
LELP1	0	0	0	0	0
PRR9	0	0	0	0	0
LOR	0	0	0	0	0
S100A9	0	1	0	0	0
S100A7A	0	0	0	0	0
S100A1	54	41	33	28	26
CHTOP	890	895	919	915	928
SNAPIN	340	281	373	347	362
NPR1	52	51	57	60	52
INTS3	1773	1856	1536	1377	1566
SLC27A3	202	232	242	218	197
CREB3L4	95	89	86	63	80
RPS27	4482	4374	5604	4989	5440
UBAP2L	5323	5071	6001	5138	5563
HAX1	666	674	887	714	804
AQP10	0	4	1	1	0
ATP8B2	2151	2098	2560	2255	2598
IL6R	310	291	355	308	306
TDRD10	118	109	93	82	69
CHRNB2	1	1	0	0	2
CKS1B	627	633	651	540	664
MIR4258	2	2	0	0	0
FLAD1	648	628	723	671	719
LENEP	0	0	0	0	0
ZBTB7B	582	585	698	692	611
DCST1	8	9	3	3	10
ADAM15	9719	10271	14360	13150	13647
EFNA4	356	349	405	382	398
EFNA3	41	30	45	41	32
EFNA1	1852	1983	3194	2580	2972
SLC50A1	410	353	422	358	412
TRIM46	256	284	171	183	168
MIR92B	0	0	0	0	0
